QPolicy
PlayerSum,DealerUpCard,IsSoft,CanBeSplitted,Action,Value
13,Two,False,False,DOUBLE_DOWN,-0.6447
13,Two,False,False,SURRENDER,-0.5000
18,Two,False,False,STAND,0.1135
18,Two,False,False,HIT,-0.7560
18,Two,False,False,DOUBLE_DOWN,-1.2267
18,Two,False,False,SURRENDER,-0.5000
6,Nine,False,False,STAND,-0.5691
6,Nine,False,False,HIT,-0.5459
6,Nine,False,False,DOUBLE_DOWN,-1.0350
6,Nine,False,False,SURRENDER,-0.5000
15,Three,False,False,STAND,-0.2490
15,Three,False,False,HIT,-0.5854
15,Three,False,False,DOUBLE_DOWN,-0.8209
15,Three,False,False,SURRENDER,-0.5000
12,Four,False,False,STAND,-0.2018
12,Four,False,False,HIT,-0.4308
12,Four,False,False,DOUBLE_DOWN,-0.4277
12,Four,False,False,SURRENDER,-0.5000
18,Four,False,False,STAND,0.1629
18,Four,False,False,HIT,-0.7429
18,Four,False,False,DOUBLE_DOWN,-1.1981
18,Four,False,False,SURRENDER,-0.5000
14,Ace,True,False,STAND,-0.7335
14,Ace,True,False,HIT,-0.5559
14,Ace,True,False,DOUBLE_DOWN,-1.0210
14,Ace,True,False,SURRENDER,-0.5000
14,Ace,False,False,STAND,-0.7275
14,Ace,False,False,HIT,-0.7283
14,Ace,False,False,DOUBLE_DOWN,-1.3144
14,Ace,False,False,SURRENDER,-0.5000
15,Ten,False,False,STAND,-0.5831
15,Ten,False,False,HIT,-0.6797
15,Ten,False,False,DOUBLE_DOWN,-1.0969
15,Ten,False,False,SURRENDER,-0.5000
21,Jack,True,False,STAND,1.3275
21,Jack,True,False,HIT,-0.2785
21,Jack,True,False,DOUBLE_DOWN,-0.0212
21,Jack,True,False,SURRENDER,-0.5000
19,Five,False,False,STAND,0.4402
19,Five,False,False,HIT,-0.8182
19,Five,False,False,DOUBLE_DOWN,-1.4575
19,Five,False,False,SURRENDER,-0.5000
4,Two,False,True,STAND,-0.2892
4,Two,False,True,HIT,-0.3106
4,Two,False,True,SPLIT,-0.6096
4,Two,False,True,DOUBLE_DOWN,-0.6734
4,Two,False,True,SURRENDER,-0.5000
20,Five,False,False,STAND,0.6712
20,Five,False,False,HIT,-0.9091
20,Five,False,False,DOUBLE_DOWN,-1.7011
20,Five,False,False,SURRENDER,-0.5000
18,Eight,False,False,STAND,0.1111
18,Eight,False,False,HIT,-0.7238
18,Eight,False,False,DOUBLE_DOWN,-1.1632
18,Eight,False,False,SURRENDER,-0.5000
20,Three,False,False,STAND,0.6428
20,Three,False,False,HIT,-0.9067
20,Three,False,False,DOUBLE_DOWN,-1.6968
20,Three,False,False,SURRENDER,-0.5000
21,Four,True,False,STAND,1.4822
